Plate,VIN,Year,Make,Model,Category,UserDNI
1086FBC,WVWLB94336GDR5UUK,2006,Volkswagen,Passat,berlina,29145174-B
8058DYY,WDBM1NC766BFWLJG3,2006,Mercedes-Benz,Clase C,berlina,92640058-Z
8380HHT,WF0JB4116B471SNMK,2011,Ford,Mustang,deportivo,92640058-Z
1856HHT,WBAFPUBJ2B170D86V,2011,BMW,Serie 1,urbano,92640058-Z
2454GZT,WBA23FCS8ASXNF52X,2010,BMW,X5,SUV,12346576-S
3328LVV,VF3TL5YU0MW04GU91,2021,Peugeot,3008,SUV,89974844-V
3185LRP,VSSRB9TW9MY0DPMX1,2021,Seat,Ibiza,urbano,89974844-V
3855KWT,VSSZNN683K9XZXFWA,2019,Seat,Ibiza,urbano,93629608-N
9567FNZ,WDB2PA4F8739EXZUE,2007,Mercedes-Benz,Clase C,berlina,88661417-M
8476LSR,WVW56N3B2MZ9PXESU,2021,Volkswagen,Tiguan,SUV,89556121-D
7321DHZ,WBAZC5EF05VWK07C0,2005,BMW,X5,SUV,89556121-D
5187HFF,WVW917GN9BJ8SWZL9,2011,Volkswagen,Polo,urbano,77749361-T
2709HKL,VF7THMEM2C1LNXLN1,2012,Citroën,C4,berlina,13905270-E
7724JCK,WBAFVVSE6FNCP9NDH,2015,BMW,Serie 1,urbano,13905270-E
5538HMT,WVWNX3LT3CSWEEU5D,2012,Volkswagen,Tiguan,SUV,13905270-E
5453MTK,VF1H1XZ53RNYBAVHL,2024,Renault,Clio,urbano,41067941-S
9348HCB,JT2PSMAN3B03NKK7H,2011,Toyota,Yaris,urbano,21371540-D
9330KHY,VF1UEHX60JF04BAE1,2018,Renault,Clio,urbano,16133991-C
5975JDR,JT25F8P51F1LNPGXK,2015,Toyota,Corolla,berlina,65110219-W
7933DSC,WAU2K8FZ65T5FKUUK,2005,Audi,A3,berlina,65110219-W
7038LPD,VSS2CDZZ1MXYYS7JZ,2021,Seat,Ibiza,urbano,84612298-J
9773HGM,WF0PM6XTXB52ZYW6F,2011,Ford,Kuga,SUV,91669776-X
9167HVZ,WBAP0G2D7E7VBXVVE,2014,BMW,Serie 3,berlina,65683895-N
9334JYB,VF7717527HYKVTHDM,2017,Citroën,C3,urbano,61882626-E
1624HNK,VF3WY6F21CXEM5P2H,2012,Peugeot,208,urbano,61882626-E
1641KLN,WF0E4KXF5JUYUB1R4,2018,Ford,Kuga,SUV,54094509-G
8131KCV,VF1A8Y8V4HCUS4CCL,2017,Renault,Mégane,berlina,23256263-C
7790GWV,VSSJKUUJ1ALXWURWC,2010,Seat,Toledo,sedán,88821220-G
5652GMC,WF0DVT0T49KE5WZVJ,2009,Ford,Mustang,deportivo,88821220-G
5703MGN,WVWXTHHX1PTG838RN,2023,Volkswagen,Golf,urbano,50144518-X
6392JYT,VF7E15YW8HNSUXFPM,2017,Citroën,C5 Aircross,SUV,25455997-B
3556GSC,VF1LWW2C49UGMLABP,2009,Renault,Clio,urbano,83773589-E
8279HYT,WBAUUVS3XE8SGLN0L,2014,BMW,Serie 5,berlina,29671290-W
0297HBG,JT2039SJ6A28X6YF8,2010,Toyota,Corolla,berlina,29671290-W
7405MLY,WAUDDCJL7PZP63ZKS,2023,Audi,TT,deportivo,78340719-M
0637JVZ,VF7RX53H9G90UM4B9,2016,Citroën,C5 Aircross,SUV,78340719-M
9552LGP,VF318UP59LZ0HC6ZZ,2020,Peugeot,208,urbano,17580048-K
9066JVH,VF1Z7RV59G2PR6AHS,2016,Renault,Clio,urbano,17580048-K
9264JHJ,VF7SZJCK0F034HJCL,2015,Citroën,C4,berlina,17580048-K
2406HBP,WVW6T9CE7BWL21UVC,2011,Volkswagen,Tiguan,SUV,90913993-F
0465KHY,VSS3SG689J4YYZ62E,2018,Seat,Toledo,sedán,96604169-Y
2621JBY,WAUZC6FZ0E60ENX5B,2014,Audi,A3,berlina,82790698-J
2741JPK,WF0DD4ZV6GEAB59MD,2016,Ford,Mustang,deportivo,15246143-H
1592HFT,WVWZL3382BYK3T79R,2011,Volkswagen,Passat,berlina,15246143-H
9776MHG,VF30D8YX6PZG2PEY5,2023,Peugeot,5008,monovolumen,33656946-B
8411BXP,VF74ZXXH02FDDZLD1,2002,Citroën,Berlingo,monovolumen,87522414-P
3977CWR,WBAY0FUE34DV4416J,2004,BMW,Serie 5,berlina,58115871-T
4241JMF,WAU5EGLG2GM5HTU0T,2016,Audi,TT,deportivo,58115871-T
8324DFZ,WDB9CPCS15G7MLPAR,2005,Mercedes-Benz,GLA,SUV,80489928-W
3356LPW,VF7LPC6B8M3T5GDYH,2021,Citroën,C4,berlina,94544183-S
5417JMF,WBADAMFC1GFVRP228,2016,BMW,Serie 5,berlina,94544183-S
6913CXT,WVWT0681749RTK25B,2004,Volkswagen,Polo,urbano,20964416-P
4132JYB,WDBTWK5ZXHMK77NRV,2017,Mercedes-Benz,Clase A,urbano,47460019-W
1095NFR,VF3SG1730S4YARPTZ,2025,Peugeot,5008,monovolumen,47460019-W
8263HGX,WBAGGVPL0BSNBA2RF,2011,BMW,Serie 3,berlina,92312020-W
8963GYX,WBAD4EHB4AR63Y7VR,2010,BMW,X5,SUV,33733993-P
9602GDH,WBA4BZNU08SZPH7UZ,2008,BMW,Serie 5,berlina,33733993-P
4499HZZ,VF3THTAE4E0DJY7C7,2014,Peugeot,5008,monovolumen,33733993-P
3935KXR,VF791LYK3K2MCCV0C,2019,Citroën,C5 Aircross,SUV,40950203-Z
0280HFT,WBA5X9631BS6X52BH,2011,BMW,Serie 1,urbano,40950203-Z
6918KZY,WAU35AAA6K0V8D0MV,2019,Audi,Q5,SUV,40950203-Z
0473HCB,VSSV6W4H8BVNJKTW9,2011,Seat,León,berlina,88842850-Z
0244JGR,WBA5HD374F9VX81RS,2015,BMW,Serie 1,urbano,88842850-Z
0206HMT,WVWUMAT51CDRK7C6S,2012,Volkswagen,Passat,berlina,43389616-R
1544HDR,VSSXECA26BWE3WZGU,2011,Seat,Toledo,sedán,17148313-L
5177HJC,VF12AR2M5CKL4ST6A,2012,Renault,Captur,SUV,93419090-J
0895KHY,WBAL8K7A0J92EJJYS,2018,BMW,Serie 1,urbano,93419090-J
6196MGN,WBACPNVZ7PSD2VE3W,2023,BMW,Serie 5,berlina,93419090-J
6721GVM,VF1M8MFV5AKKJGZG3,2010,Renault,Scénic,monovolumen,62536314-G
4032JFX,VF7W1VW79FLUD7U4K,2015,Citroën,Berlingo,monovolumen,45225051-J
4217KJV,WVWXF32M3J3ZL3V4U,2018,Volkswagen,Golf,urbano,45225051-J
5842LVD,WVWL6YKE7M6PSF9TG,2021,Volkswagen,Polo,urbano,45986612-K
4820GGV,VF354386589AGGSN2,2008,Peugeot,208,urbano,46959996-E
3164JJH,WBAHYA8U1F5XH2ZNP,2015,BMW,X5,SUV,96624287-E
6877KTJ,WVWS8S099KJJ4UYKF,2019,Volkswagen,Polo,urbano,14415512-D
4324LJR,VF3EBAZB6LKBJTTHG,2020,Peugeot,208,urbano,46047989-B
5953GNY,WBACG29E494TD4YES,2009,BMW,Serie 1,urbano,75690295-D
9492HKX,WDBN1BZD4C60HXTYK,2012,Mercedes-Benz,Clase A,urbano,75690295-D
2993NFC,VF7N6G2E4SEWTTRGY,2025,Citroën,C4,berlina,24181245-B
9868JXF,VSS0E9EG2HEN0532D,2017,Seat,León,berlina,78361824-L
1460LXS,WBAKXZGT2N1XDTR0V,2022,BMW,Serie 1,urbano,21602959-W
5150JJW,WF0769Z05FHH45ZZ5,2015,Ford,Focus,berlina,21602959-W
0878JDR,WDBPD1R68FGLNSZAX,2015,Mercedes-Benz,GLA,SUV,91408398-G
5681JYT,WBA9KXRT9HW5ZRLJS,2017,BMW,Serie 5,berlina,91408398-G
8777MBN,VF76K9YX7NG2VK6N4,2022,Citroën,C5 Aircross,SUV,40287458-Z
3452HXN,VF7T6WGW7ECGKBR8Y,2014,Citroën,Berlingo,monovolumen,21367080-B
7331CNK,WAUT1VCJ13BPRWYP3,2003,Audi,TT,deportivo,53463785-D
9189LYZ,VF1CVET74NUT4453Y,2022,Renault,Clio,urbano,45033805-N
5097HLK,VF1FHE7B4CSJZ6VJ5,2012,Renault,Scénic,monovolumen,73437078-X
4928JTB,WVWBER748G8TLYT10,2016,Volkswagen,Golf,urbano,60471820-J
9983MXP,WBAL4LN77RVGCYUFX,2024,BMW,Serie 3,berlina,23375556-N
1692FZR,WAU6AZ1J78DZYFG7L,2008,Audi,Q5,SUV,85311215-Y
1770DSC,WDBXEFFG057NNWZ7N,2005,Mercedes-Benz,GLA,SUV,85311215-Y
8897HLW,WAUNDRU46C4XTB2LK,2012,Audi,Q5,SUV,79269342-A
0482LDR,WAULATFM4KK958TW7,2019,Audi,TT,deportivo,95057840-J
3471MKD,JT2A36236PXB87SR3,2023,Toyota,RAV4,SUV,95057840-J
6524JTR,VF12K5R05GL384WFL,2016,Renault,Scénic,monovolumen,95057840-J
8701FKY,WBA3ALZJ772B1XYU1,2007,BMW,Serie 5,berlina,95671774-P
9625LFY,WAUCCLUC1LA5983S5,2020,Audi,Q5,SUV,95671774-P
9159LZZ,JT2C1W1H9NLM1EWEV,2022,Toyota,Corolla,berlina,95671774-P
5096GJV,VF73PZCT58B6M25NK,2008,Citroën,C5 Aircross,SUV,97690172-H
0758LTD,VF38GVG36MHSTL0EY,2021,Peugeot,308,berlina,97690172-H
3951HDR,VF3C62TV0BAPYNM5B,2011,Peugeot,3008,SUV,17826159-D
2907HHT,WAUUJFRG3BCRPBJ5X,2011,Audi,A3,berlina,93705242-E
3140HRX,WF0D158H0DJA7GC0R,2013,Ford,Mustang,deportivo,26331479-K
0633JLN,WVWN39TX0GDYEHKA1,2016,Volkswagen,Passat,berlina,26331479-K
7956LWR,VSSRGUZPXN97HFAPY,2022,Seat,Ibiza,urbano,58404407-R
4112FFK,WVW9YTBX864FP2PBC,2006,Volkswagen,Passat,berlina,58404407-R
6233DKB,WVW2Y1ADX5581W1Z7,2005,Volkswagen,Passat,berlina,58404407-R
7670LXD,WAU9XHLN7N793VLZ5,2022,Audi,TT,deportivo,61238433-J
7401MJR,VF7SMU0HXP6E2KV4V,2023,Citroën,Berlingo,monovolumen,40138158-F
3277MKR,VSSJLX3M5PVU3DXY8,2023,Seat,Ateca,SUV,40138158-F
1834HNC,VSS556138C2JAUF7B,2012,Seat,León,berlina,82306095-C
7137KDK,VF10URG57H09PWYZJ,2017,Renault,Captur,SUV,82306095-C
1334JRZ,WF0R17TP6G63792JK,2016,Ford,Focus,berlina,26734486-E
1561FGF,VF7SKUPH16H025VX8,2006,Citroën,C5 Aircross,SUV,26734486-E
8988JVH,VF1USJY87G7P7AH9B,2016,Renault,Mégane,berlina,26734486-E
7029JJW,VSS4Z1GA6FD3P4DEH,2015,Seat,Ibiza,urbano,70303839-S
3255HNC,VF1243JD1CBPFSCV0,2012,Renault,Captur,SUV,70303839-S
2017LVV,JT2YAWYM5MWE7U5EM,2021,Toyota,Yaris,urbano,60711254-V
8721HPY,JT247KZV6DGR5C4N2,2013,Toyota,Corolla,berlina,60711254-V
8508HJC,WVWNY4TF2C0TGFPEZ,2012,Volkswagen,Passat,berlina,25737152-Z
